site,eastings,northings,D,type,ID,rep,depth,sample_no,bottle,cylinder,sieve,tin,sieve+sample0.6-2,sieve0.6-2,sandL,sieve+sample0.212-0.6,sieve0.212-0.6,sandM,sieve+sample0.063-0.212,sieve0.063-0.212,sandS,bottle+sample0.002-0.063,bottle0.002-0.063,Z,bottle+sample<0.002,bottle<0.002,C,S,F,%sandL,%sandM,%sandS,SAND,SILT,CLAY,total
CP,504403.189,252305.545,0.063905,PA,40,1,4,20,8C,8A,9,8B,93.439,92.9852,0.4538,86.6027,86.1312,0.4715,85.2666,84.2362,1.0304,82.9724,82.4783,0.4941,80.4217,80.1491,0.2726,1.9557,10.5596,4.3,4.47,9.76,18.52,41.95,39.53,100
CP,504643.189,252365.545,0.063905,FW,3,1,1,21,9C,9A,1,9B,88.9613,88.8231,0.1382,85.6541,84.0978,1.5563,83.2324,82.439,0.7934,80.3073,79.9939,0.3134,79.9769,79.7618,0.2151,2.4879,7.4778,1.85,20.81,10.61,33.27,26.29,40.44,100
CP,504643.189,252365.545,0.063905,FW,3,1,2,22,10C,10A,2,10B,91.2693,91.0941,0.1752,86.3084,82.3403,3.9681,87.4719,86.425,1.0469,83.2025,82.8013,0.4012,80.0265,79.7892,0.2373,5.1902,11.9361,1.47,33.24,8.77,43.48,27.46,29.05,100
CP,504643.189,252365.545,0.063905,FW,3,1,3,23,11C,11A,3,11B,91.9333,91.6814,0.2519,87.9024,85.2763,2.6261,88.4586,87.7652,0.6934,80.3154,79.9177,0.3977,80.0296,79.7945,0.2351,3.5714,10.2473,2.46,25.63,6.77,34.85,31.74,33.41,100
CP,504643.189,252365.545,0.063905,FW,3,1,4,24,12C,12A,4,12B,90.1712,89.9145,0.2567,87.1745,83.5585,3.616,85.9739,84.7895,1.1844,80.1791,79.9128,0.2663,79.516,79.3371,0.1789,5.0571,9.105,2.82,39.71,13.01,55.54,19.2,25.26,100
CP,504543.189,252265.545,0.063905,FW,9,1,1,25,1A,1C,6,1A,87.7018,87.5917,0.1101,82.7847,82.2641,0.5206,79.6979,79.0829,0.615,83.7981,83.3435,0.4546,83.5612,83.2422,0.319,1.2457,9.0596,1.22,5.75,6.79,13.75,29.94,56.31,100
CP,504543.189,252265.545,0.063905,FW,9,1,2,26,2A,2C,7,2A,92.816,92.6195,0.1965,86.6875,86.1166,0.5709,85.102,84.2482,0.8538,84.7084,84.1923,0.5161,80.3803,80.0267,0.3536,1.6212,10.6651,1.84,5.35,8.01,15.2,30.47,54.33,100
CP,504543.189,252265.545,0.063905,FW,9,1,3,27,3A,3C,8,3A,93.0643,92.9618,0.1025,87.0703,86.951,0.1193,84.7619,84.5013,0.2606,80.2327,79.6613,0.5714,80.223,79.8739,0.3491,0.4824,10.6323,0.96,1.12,2.45,4.54,41.82,53.65,100
CP,504543.189,252265.545,0.063905,FW,9,1,4,28,4A,4C,9,4A,93.0723,92.9865,0.0858,86.2699,86.1358,0.1341,84.5596,84.2528,0.3068,85.4239,84.8308,0.5931,81.6832,81.3335,0.3497,0.5267,11.1106,0.77,1.21,2.76,4.74,43.81,51.45,100
CP,504493.189,252485.545,0.063905,PA,14,1,1,29,5A,5C,1,5A,89.0542,88.8247,0.2295,85.0648,84.1088,0.956,83.1904,82.4435,0.7469,80.2119,79.8224,0.3895,83.5594,83.3182,0.2412,1.9324,8.4443,2.72,11.32,8.85,22.88,35.12,41.99,100
CP,504493.189,252485.545,0.063905,PA,14,1,2,30,6A,6C,2,6A,91.2414,91.0952,0.1462,86.2614,84.3524,1.909,87.5939,86.4307,1.1632,80.1143,79.6626,0.4517,81.6411,81.3982,0.2429,3.2184,10.9743,1.33,17.4,10.6,29.33,38.05,32.62,100
CP,504493.189,252485.545,0.063905,PA,14,1,3,31,7A,7C,3,7A,92.0832,91.6817,0.4015,87.3527,85.299,2.0537,88.4468,87.1745,1.2723,81.0463,80.5681,0.4782,81.5289,81.2798,0.2491,3.7275,12.0134,3.34,17.1,10.59,31.03,38.14,30.83,100
CP,504493.189,252485.545,0.063905,PA,14,1,4,32,8A,1A,1,1C,89.143,88.8286,0.3144,86.7861,84.1808,2.6053,83.8213,82.4448,1.3765,80.4632,80.0222,0.441,84.3637,84.1347,0.229,4.2962,11.8381,2.66,22.01,11.63,36.29,35.82,27.89,100
CP,504462.9078,252135.545,0.063905,FW,20,1,1,33,9A,2A,2,2C,91.4819,91.0912,0.3907,85.3576,84.3976,0.96,87.6071,86.442,1.1651,84.0234,83.6091,0.4143,85.3573,85.0909,0.2664,2.5158,9.5237,4.1,10.08,12.23,26.42,31.06,42.52,100
