treatment,ID,depth,massDensity,cumFRC,ol_frm,block
FW,1,1,2.05332660468581,1.0266633023429,FALSE,2
FW,1,2,0.150316355179111,1.10182147993246,FALSE,2
FW,1,3,0.425248925444705,1.52707040537716,FALSE,2
FW,1,4,0.0388035893154555,1.56587399469262,FALSE,2
FW,2,1,1.44479280187689,0.722396400938444,FALSE,2
FW,2,2,0.784903135418019,1.11484796864745,FALSE,2
FW,2,3,0.332884495377495,1.44773246402495,FALSE,2
FW,2,4,0.594043712834922,2.04177617685987,FALSE,2
FW,3,1,5.21917847297993,2.60958923648996,FALSE,2
FW,3,2,1.5477546104202,3.38346654170006,FALSE,2
FW,3,3,0.230115691733571,3.61358223343363,FALSE,2
FW,3,4,0.0532938185443656,3.666876051978,FALSE,2
FW,4,1,2.80280912531489,1.40140456265745,FALSE,2
FW,4,2,1.13144527445164,1.96712719988326,FALSE,2
FW,4,3,0.577570231722694,2.54469743160596,FALSE,2
FW,4,4,0.42203158160088,2.96672901320684,FALSE,2
FW,5,1,1.6459189134639,0.822959456731952,FALSE,2
FW,5,2,0.830431107452415,1.23817501045816,FALSE,2
FW,5,3,0.356890194896473,1.59506520535463,FALSE,2
FW,5,4,0.274237835710725,1.86930304106536,FALSE,2
FW,6,1,16.8983871151906,8.44919355759531,TRUE,2
FW,6,2,1.3506906317378,9.12453887346421,FALSE,2
FW,6,3,0.584832368349482,9.70937124181369,FALSE,2
FW,6,4,0.587141199770619,10.2965124415843,FALSE,2
FW,7,1,2.71695237612559,1.35847618806279,FALSE,2
FW,7,2,2.07570279470576,2.39632758541568,FALSE,2
FW,7,3,1.53230848726094,3.92863607267662,TRUE,2
FW,7,4,0.431023432928744,4.35965950560536,FALSE,2
FW,8,1,3.31346519857056,1.65673259928528,FALSE,2
FW,8,2,0.922013541929876,2.11773937025022,FALSE,2
FW,8,3,0.112507830035169,2.23024720028539,FALSE,2
FW,8,4,0.236493273376346,2.46674047366174,FALSE,2
FW,9,1,1.07706329026962,0.538531645134812,FALSE,2
FW,9,2,3.57028602123893,2.32367465575428,TRUE,2
FW,9,3,0.420021907402781,2.74369656315706,FALSE,2
FW,9,4,0.0449956514402622,2.78869221459732,FALSE,2
FW,10,1,3.40262913950272,1.70131456975136,FALSE,2
FW,10,2,1.79129948439236,2.59696431194754,FALSE,2
FW,10,3,0.700978983559075,3.29794329550661,FALSE,2
FW,10,4,0.695175030037269,3.99311832554388,FALSE,2
FW,11,1,4.3077561658127,2.15387808290635,FALSE,2
FW,11,2,0.974129157232602,2.64094266152265,FALSE,2
FW,11,3,1.73542915006976,4.37637181159241,TRUE,2
FW,11,4,0.721503507904675,5.09787531949709,FALSE,2
FW,12,1,4.88777696255326,2.44388848127663,FALSE,2
