year,ID,block,ctrltmt,treat,dist_m,depth_cm,di_cm,OCC_g_100g,BD_g_cm3,mEquiv,mMeas,tC,SOC_ESM_Mg_ha2,SOC_Mg_ha2
2011,3FB4,B3,tmt,F,2.5,5,10,3.547198708,1.31,100000,13.1,7.632587786,35.46734025,46.46830307
2011,3FB4,B3,tmt,F,2.5,16,10,3.32,1.25,100000,12.5,7.999,33.19585,41.5
2011,3FB4,B3,tmt,F,2.5,30,20,2.01,1.35,200000,27,14.81281481,40.194573,54.27
2011,3FB4,B3,tmt,F,2.5,50,20,1.769004537,1.34,200000,26.8,14.92337313,35.37534981,47.40932159
2011,3FB4,B3,tmt,F,2.5,83,45,0.869197737,1.45,450000,65.25,31.02998276,39.10822665,56.71515234
2011,3FB4,B3,tmt,F,2.5,128,45,0.204440459,1.55,450000,69.75,29.02775806,9.198394683,14.25972202
2011,3FB4,B3,tmt,F,3.5,5,10,3.578500995,1.22,100000,12.2,8.195721311,35.78064418,43.65771214
2011,3FB4,B3,tmt,F,3.5,16,10,3.1,1.32,100000,13.2,7.574757576,30.995908,40.92
2011,3FB4,B3,tmt,F,3.5,30,20,1.77,1.42,200000,28.4,14.08250704,35.3949732,50.268
2011,3FB4,B3,tmt,F,3.5,50,20,0.950203156,1.56,200000,31.2,12.81851282,19.00109849,29.64633847
2011,3FB4,B3,tmt,F,3.5,83,45,0.357413568,1.41,450000,63.45,31.91039362,16.08134277,22.67789089
2011,3FB4,B3,tmt,F,3.5,128,45,0,1.41,450000,63.45,31.91039362,0,0
2011,3FB4,B3,tmt,F,4.5,5,10,4.154297292,1.2,100000,12,8.332333333,41.53798776,49.8515675
2011,3FB4,B3,tmt,F,4.5,16,10,3.22,1.33,100000,13.3,7.517796992,32.1957174,42.826
2011,3FB4,B3,tmt,F,4.5,30,20,1.57,1.36,200000,27.2,14.70388235,31.3957296,42.704
2011,3FB4,B3,tmt,F,4.5,50,20,0.901539385,1.44,200000,28.8,13.88688889,18.02819127,25.96433429
2011,3FB4,B3,tmt,F,4.5,83,45,0.558502748,1.33,450000,59.85,33.83008647,25.12928102,33.42638947
2011,3FB4,B3,tmt,F,4.5,128,45,0.102630547,1.45,450000,65.25,31.02998276,4.617704951,6.696643192
2011,C11,B1,ctrl,Control,C,5,10,3.77721886,1.21,100000,12.1,8.26346281,37.76761817,45.70434821
2011,C11,B1,ctrl,Control,C,16,10,3.12,1.18,100000,11.8,8.473576271,31.1963184,36.816
2011,C11,B1,ctrl,Control,C,30,20,1.81,1.38,200000,27.6,14.49075362,36.1950044,49.956
2011,C11,B1,ctrl,Control,C,50,20,1.209388945,1.36,200000,27.2,14.70388235,24.18448936,32.8953793
2011,C11,B1,ctrl,Control,C,83,45,1.105839168,1.3,450000,58.5,34.61088462,49.7562934,64.69159133
2011,C11,B1,ctrl,Control,C,128,45,0.701614144,1.11,450000,49.95,40.53604054,31.56913192,35.04562649
2011,C12,B1,ctrl,Control,C,5,10,3.412354884,1.1,100000,11,9.089909091,34.11979525,37.53590372
2011,C12,B1,ctrl,Control,C,16,10,3.19,1.21,100000,12.1,8.26346281,31.8961401,38.599
2011,C12,B1,ctrl,Control,C,30,20,1.24,1.35,200000,27,14.81281481,24.796652,33.48
2011,C12,B1,ctrl,Control,C,50,20,0.954408421,1.49,200000,29.8,13.42081879,19.08532428,28.44137095
2011,C12,B1,ctrl,Control,C,83,45,0.60258332,1.36,450000,61.2,33.08373529,27.11256159,36.87809918
2011,C12,B1,ctrl,Control,C,128,45,0.45238875,1.16,450000,52.2,38.78860345,20.35513228,23.61469275
