dateCollected,type,ID,rep,block,depth,BD,MC,coreLength,coreArea,coreVol,VMC,grid,lat,lon
16/01/2014,MW,3,1,1,15,1.12,0.34,53,7.092884,37.6,0.34,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,15,0.96,0.39,71,7.092884,50.4,0.39,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,15,0.96,0.39,71,7.092884,50.4,0.39,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,1,1,30,1.22,0.26,51,7.092884,36.2,0.26,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,1,1,30,1.22,0.26,51,7.092884,36.2,0.26,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,3,1,30,1.31,0.27,55,7.092884,39,0.27,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,3,1,30,1.31,0.27,55,7.092884,39,0.27,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,30,1.29,0.26,66,7.092884,46.8,0.26,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,30,1.29,0.26,66,7.092884,46.8,0.26,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,1,1,50,1.46,0.22,74,7.092884,52.5,0.22,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,1,1,50,1.46,0.22,74,7.092884,52.5,0.22,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,3,1,50,1.39,0.23,69,7.092884,48.9,0.23,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,3,1,50,1.39,0.23,69,7.092884,48.9,0.23,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,50,1.7,0.19,57,7.092884,40.4,0.19,SV0000100001,49.766818,-7.557147
16/01/2014,MW,3,2,1,50,1.7,0.19,57,7.092884,40.4,0.19,SV0000100001,49.766818,-7.557147
23/10/2012,SP,30,1,1,5,0.87,0.43,51.2,7.092884,36.32,0.43,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,5,0.87,0.43,51.2,7.092884,36.32,0.43,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,5,0.91,0.46,46.9,7.092884,33.27,0.46,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,5,0.91,0.46,46.9,7.092884,33.27,0.46,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,5,0.8,0.46,45,7.092884,31.92,0.46,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,5,0.8,0.46,45,7.092884,31.92,0.46,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,15,1.19,0.24,58.8,7.092884,41.71,0.24,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,15,1.19,0.24,58.8,7.092884,41.71,0.24,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,15,1.02,0.24,51.3,7.092884,36.39,0.24,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,15,1.02,0.24,51.3,7.092884,36.39,0.24,TL0424552398,52.160023,-0.47748979
